data,cod_prov,pro_com_t,provincia,comune,%vaccinati,%immunizzati
2021-12-01,84,084001,Agrigento,Agrigento,88.53,86.55
2021-12-01,84,084002,Agrigento,Alessandria della Rocca,85.60,83.91
2021-12-01,84,084003,Agrigento,Aragona,89.37,87.74
2021-12-01,84,084004,Agrigento,Bivona,86.42,84.59
2021-12-01,84,084005,Agrigento,Burgio,89.77,88.50
2021-12-01,84,084006,Agrigento,Calamonaci,80.94,79.79
2021-12-01,84,084007,Agrigento,Caltabellotta,85.73,83.37
2021-12-01,84,084008,Agrigento,Camastra,81.45,78.52
2021-12-01,84,084009,Agrigento,Cammarata,89.05,87.13
2021-12-01,84,084010,Agrigento,Campobello di Licata,85.36,83.39
2021-12-01,84,084011,Agrigento,Canicattì,82.43,80.27
2021-12-01,84,084012,Agrigento,Casteltermini,86.55,85.18
2021-12-01,84,084013,Agrigento,Castrofilippo,80.25,78.12
2021-12-01,84,084014,Agrigento,Cattolica Eraclea,82.28,79.97
2021-12-01,84,084015,Agrigento,Cianciana,87.92,85.98
2021-12-01,84,084016,Agrigento,Comitini,95.38,92.88
2021-12-01,84,084017,Agrigento,Favara,86.98,84.50
2021-12-01,84,084018,Agrigento,Grotte,87.68,86.29
2021-12-01,84,084019,Agrigento,Joppolo Giancaxio,83.81,82.83
2021-12-01,84,084020,Agrigento,Lampedusa e Linosa,81.17,77.03
2021-12-01,84,084021,Agrigento,Licata,77.60,74.56
2021-12-01,84,084022,Agrigento,Lucca Sicula,92.03,89.80
2021-12-01,84,084023,Agrigento,Menfi,85.67,83.43
2021-12-01,84,084024,Agrigento,Montallegro,84.59,83.34
2021-12-01,84,084025,Agrigento,Montevago,88.09,86.16
2021-12-01,84,084026,Agrigento,Naro,82.09,79.78
2021-12-01,84,084027,Agrigento,Palma di Montechiaro,76.03,72.89
2021-12-01,84,084028,Agrigento,Porto Empedocle,83.63,81.49
2021-12-01,84,084029,Agrigento,Racalmuto,84.69,82.97
2021-12-01,84,084030,Agrigento,Raffadali,88.28,86.11
2021-12-01,84,084031,Agrigento,Ravanusa,73.28,70.85
2021-12-01,84,084032,Agrigento,Realmonte,86.49,84.34
2021-12-01,84,084033,Agrigento,Ribera,84.09,82.02
2021-12-01,84,084034,Agrigento,Sambuca di Sicilia,90.62,87.90
2021-12-01,84,084035,Agrigento,San Biagio Platani,86.38,83.09
2021-12-01,84,084036,Agrigento,San Giovanni Gemini,86.70,84.61
2021-12-01,84,084037,Agrigento,Santa Elisabetta,87.76,85.85
2021-12-01,84,084038,Agrigento,Santa Margherita di Belice,86.06,84.22
2021-12-01,84,084039,Agrigento,Sant'Angelo Muxaro,84.62,82.78
2021-12-01,84,084040,Agrigento,Santo Stefano Quisquina,88.76,86.90
2021-12-01,84,084041,Agrigento,Sciacca,91.89,90.48
2021-12-01,84,084042,Agrigento,Siculiana,83.50,81.83
2021-12-01,84,084043,Agrigento,Villafranca Sicula,89.79,88.07
2021-12-01,81,081001,Trapani,Alcamo,88.11,85.57
2021-12-01,81,081002,Trapani,Buseto Palizzolo,88.03,84.07
2021-12-01,81,081003,Trapani,Calatafimi-Segesta,89.22,87.26
2021-12-01,81,081004,Trapani,Campobello di Mazara,77.38,73.94
2021-12-01,81,081005,Trapani,Castellammare del Golfo,82.04,79.45
2021-12-01,81,081006,Trapani,Castelvetrano,79.73,76.81
2021-12-01,81,081007,Trapani,Custonaci,78.73,74.80
2021-12-01,81,081008,Trapani,Erice,83.73,80.41
2021-12-01,81,081009,Trapani,Favignana,84.22,81.04
2021-12-01,81,081010,Trapani,Gibellina,87.23,84.77
2021-12-01,81,081011,Trapani,Marsala,86.33,83.41
2021-12-01,81,081012,Trapani,Mazara del Vallo,86.17,82.87
2021-12-01,81,081013,Trapani,Paceco,82.07,78.81
2021-12-01,81,081014,Trapani,Pantelleria,77.48,73.06
2021-12-01,81,081015,Trapani,Partanna,87.97,85.86
2021-12-01,81,081024,Trapani,Petrosino,73.40,71.01
2021-12-01,81,081016,Trapani,Poggioreale,78.09,76.07
2021-12-01,81,081017,Trapani,Salaparuta,83.79,80.90
2021-12-01,81,081018,Trapani,Salemi,84.68,82.07
2021-12-01,81,081020,Trapani,San Vito Lo Capo,77.22,73.39
2021-12-01,81,081019,Trapani,Santa Ninfa,88.78,86.39
2021-12-01,81,081021,Trapani,Trapani,81.30,78.04
2021-12-01,81,081022,Trapani,Valderice,82.99,79.66
2021-12-01,81,081023,Trapani,Vita,87.47,85.36
